投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
2,ストレート,149km/h,ファウル,今永 昇太,糸原 健斗,1-2,●●
3,ストレート,149km/h,ボール,今永 昇太,糸原 健斗,1-2,●●
4,ストレート,150km/h,左安,今永 昇太,糸原 健斗,1-2,●●
1,チェンジアップ,135km/h,左２  [打者ガッツポーズ],今永 昇太,山本 泰寛,1-4,●●
1,ストレート,146km/h,ボール  [打者のけぞる],今永 昇太,坂本 誠志郎,1-4,●●●
2,ストレート,146km/h,ボール,今永 昇太,坂本 誠志郎,1-4,●●●
3,ストレート,147km/h,空振り,今永 昇太,坂本 誠志郎,1-4,●●●
4,ストレート,147km/h,見逃し,今永 昇太,坂本 誠志郎,1-4,●●●
5,ストレート,147km/h,ファウル,今永 昇太,坂本 誠志郎,1-4,●●●
6,ストレート,147km/h,中飛,今永 昇太,坂本 誠志郎,1-4,●●●
1,ツーシーム,142km/h,見逃し,青柳 晃洋,桑原 将志,1-4,●
2,スライダー,123km/h,ファウル,青柳 晃洋,桑原 将志,1-4,●
3,スライダー,123km/h,ボール,青柳 晃洋,桑原 将志,1-4,●
4,ツーシーム,143km/h,ファウル,青柳 晃洋,桑原 将志,1-4,●
5,ツーシーム,140km/h,二ゴロ,青柳 晃洋,桑原 将志,1-4,●
1,シンカー,128km/h,ファウル  [ライン際],青柳 晃洋,神里 和毅,1-4,●●
2,ツーシーム,142km/h,ファウル  [セーフティバント、バントファウル],青柳 晃洋,神里 和毅,1-4,●●
3,ストレート,144km/h,空三振  [高めのつり球を要求],青柳 晃洋,神里 和毅,1-4,●●
1,ツーシーム,142km/h,見逃し,青柳 晃洋,嶺井 博希,1-4,●●●
2,ツーシーム,143km/h,空振り,青柳 晃洋,嶺井 博希,1-4,●●●
3,ツーシーム,140km/h,二ゴロ  [バウンド高い、ランニングスロー],青柳 晃洋,嶺井 博希,1-4,●●●
1,ストレート,145km/h,ボール,今永 昇太,青柳 晃洋,1-4,●
2,ストレート,145km/h,見逃し,今永 昇太,青柳 晃洋,1-4,●
3,ストレート,147km/h,ファウル,今永 昇太,青柳 晃洋,1-4,●
4,チェンジアップ,134km/h,遊ゴロ  [痛烈な当たり],今永 昇太,青柳 晃洋,1-4,●
1,ストレート,147km/h,見逃し,今永 昇太,島田 海吏,1-4,●●
2,カーブ,110km/h,ファウル,今永 昇太,島田 海吏,1-4,●●
3,チェンジアップ,-,ボール  [ワンバウンド],今永 昇太,島田 海吏,1-4,●●
4,カーブ,113km/h,空三振,今永 昇太,島田 海吏,1-4,●●
1,チェンジアップ,132km/h,二ゴロ,今永 昇太,中野 拓夢,1-4,●●●
1,ツーシーム,-,見逃し,青柳 晃洋,今永 昇太,1-4,●
2,ツーシーム,142km/h,見逃し  [セーフティバント、バント構え],青柳 晃洋,今永 昇太,1-4,●
3,ツーシーム,141km/h,見三振,青柳 晃洋,今永 昇太,1-4,●
1,スライダー,123km/h,見逃し,青柳 晃洋,森 敬斗,1-4,●●
2,ツーシーム,142km/h,ボール,青柳 晃洋,森 敬斗,1-4,●●
3,ストレート,143km/h,空振り,青柳 晃洋,森 敬斗,1-4,●●
4,スライダー,-,ボール,青柳 晃洋,森 敬斗,1-4,●●
5,ストレート,143km/h,ファウル,青柳 晃洋,森 敬斗,1-4,●●
6,ストレート,143km/h,空三振,青柳 晃洋,森 敬斗,1-4,●●
1,シンカー,130km/h,ボール,青柳 晃洋,関根 大気,1-4,●●●
2,ツーシーム,142km/h,ボール,青柳 晃洋,関根 大気,1-4,●●●
3,ストレート,143km/h,中飛,青柳 晃洋,関根 大気,1-4,●●●
1,スライダー,128km/h,見逃し,今永 昇太,近本 光司,1-4,●
2,カットボール,138km/h,見逃し,今永 昇太,近本 光司,1-4,●
3,カーブ,-,三ゴロ  [バットの先、当てただけ],今永 昇太,近本 光司,1-4,●
1,カーブ,-,ボール,今永 昇太,佐藤 輝明,1-4,●●
2,ストレート,145km/h,右飛  [詰り、ダイビングキャッチ、好プレイ],今永 昇太,佐藤 輝明,1-4,●●
1,ストレート,146km/h,左本,今永 昇太,大山 悠輔,1-5,●●
1,ストレート,144km/h,見逃し,今永 昇太,糸原 健斗,1-5,●●●
2,チェンジアップ,133km/h,空振り,今永 昇太,糸原 健斗,1-5,●●●
3,ストレート,144km/h,三直  [ライン際],今永 昇太,糸原 健斗,1-5,●●●
1,スライダー,128km/h,見逃し,青柳 晃洋,佐野 恵太,1-5,
2,シンカー,129km/h,中安,青柳 晃洋,佐野 恵太,1-5,
1,ツーシーム,139km/h,中飛,青柳 晃洋,牧 秀悟,1-5,●
1,カットボール,129km/h,ボール,青柳 晃洋,宮﨑 敏郎,1-5,●
2,カットボール,129km/h,ボール,青柳 晃洋,宮﨑 敏郎,1-5,●
3,ツーシーム,139km/h,見逃し,青柳 晃洋,宮﨑 敏郎,1-5,●
4,ツーシーム,-,ボール,青柳 晃洋,宮﨑 敏郎,1-5,●
5,ツーシーム,-,四球,青柳 晃洋,宮﨑 敏郎,1-5,●
1,スライダー,122km/h,見逃し,青柳 晃洋,桑原 将志,1-5,●●
2,ストレート,-,ボール,青柳 晃洋,桑原 将志,1-5,●●
3,ツーシーム,138km/h,ファウル,青柳 晃洋,桑原 将志,1-5,●●
4,ツーシーム,141km/h,三ゴロ  [引っかけ、ランニングスロー、併殺崩れ、間一髪],青柳 晃洋,桑原 将志,1-5,●●
1,スライダー,120km/h,ボール,青柳 晃洋,神里 和毅,1-5,●●●
2,シンカー,129km/h,ボール  [ワンバウンド],青柳 晃洋,神里 和毅,1-5,●●●
3,ツーシーム,139km/h,中飛,青柳 晃洋,神里 和毅,1-5,●●●
1,チェンジアップ,133km/h,ボール  [ワンバウンド],今永 昇太,山本 泰寛,1-5,●
2,カットボール,-,ファウル,今永 昇太,山本 泰寛,1-5,●
3,ストレート,144km/h,ボール,今永 昇太,山本 泰寛,1-5,●
4,ストレート,145km/h,左飛,今永 昇太,山本 泰寛,1-5,●
1,チェンジアップ,133km/h,空振り  [ハーフスイング],今永 昇太,坂本 誠志郎,1-5,●●
2,チェンジアップ,134km/h,ボール,今永 昇太,坂本 誠志郎,1-5,●●
3,カーブ,112km/h,ボール  [ワンバウンド],今永 昇太,坂本 誠志郎,1-5,●●
4,カットボール,143km/h,見逃し,今永 昇太,坂本 誠志郎,1-5,●●
5,ストレート,145km/h,ボール,今永 昇太,坂本 誠志郎,1-5,●●
6,ストレート,144km/h,二飛,今永 昇太,坂本 誠志郎,1-5,●●
1,ストレート,144km/h,見逃し,今永 昇太,青柳 晃洋,1-5,●●
2,ストレート,144km/h,ファウル,今永 昇太,青柳 晃洋,1-5,●●
3,ストレート,144km/h,中安,今永 昇太,青柳 晃洋,1-5,●●
1,ストレート,144km/h,見逃し,今永 昇太,島田 海吏,1-5,●●●
2,カットボール,137km/h,ファウル,今永 昇太,島田 海吏,1-5,●●●
3,ストレート,144km/h,ファウル,今永 昇太,島田 海吏,1-5,●●●
4,カーブ,108km/h,投直  [バットの先、好プレイ],今永 昇太,島田 海吏,1-5,●●●
1,ツーシーム,-,見逃し  [セーフティバント、バント構え],青柳 晃洋,嶺井 博希,1-5,●
2,ツーシーム,140km/h,ファウル,青柳 晃洋,嶺井 博希,1-5,●
3,スライダー,-,ファウル,青柳 晃洋,嶺井 博希,1-5,●
4,ツーシーム,141km/h,ファウル  [自打球],青柳 晃洋,嶺井 博希,1-5,●
5,ツーシーム,140km/h,見三振,青柳 晃洋,嶺井 博希,1-5,●
1,ツーシーム,-,見逃し,青柳 晃洋,今永 昇太,1-5,●●
2,スライダー,122km/h,ファウル  [セーフティバント、バントファウル],青柳 晃洋,今永 昇太,1-5,●●
3,シンカー,129km/h,空三振  [ハーフスイング],青柳 晃洋,今永 昇太,1-5,●●
1,ツーシーム,142km/h,ファウル,青柳 晃洋,森 敬斗,1-5,●●
2,ストレート,142km/h,ボール,青柳 晃洋,森 敬斗,1-5,●●
3,スライダー,123km/h,見逃し,青柳 晃洋,森 敬斗,1-5,●●
4,ツーシーム,141km/h,左安,青柳 晃洋,森 敬斗,1-5,●●
1,シンカー,126km/h,ファウル,青柳 晃洋,関根 大気,1-5,●●●
2,ツーシーム,139km/h,三ゴロ  [投手直撃],青柳 晃洋,関根 大気,1-5,●●●
1,カットボール,-,見逃し,今永 昇太,中野 拓夢,1-5,●
2,カーブ,108km/h,ファウル,今永 昇太,中野 拓夢,1-5,●
3,カーブ,106km/h,ファウル,今永 昇太,中野 拓夢,1-5,●
4,ストレート,144km/h,ファウル,今永 昇太,中野 拓夢,1-5,●
5,カーブ,109km/h,中飛,今永 昇太,中野 拓夢,1-5,●
1,ストレート,145km/h,ボール,今永 昇太,近本 光司,1-5,●●
2,カットボール,138km/h,ボール,今永 昇太,近本 光司,1-5,●●
3,カットボール,-,一ゴロ,今永 昇太,近本 光司,1-5,●●
1,カットボール,140km/h,見逃し,今永 昇太,佐藤 輝明,1-5,●●●
2,ストレート,147km/h,ボール,今永 昇太,佐藤 輝明,1-5,●●●
3,ストレート,146km/h,ボール,今永 昇太,佐藤 輝明,1-5,●●●
4,カットボール,140km/h,空振り,今永 昇太,佐藤 輝明,1-5,●●●
5,ストレート,147km/h,空三振,今永 昇太,佐藤 輝明,1-5,●●●
1,スライダー,125km/h,ボール,青柳 晃洋,佐野 恵太,1-5,●
2,ストレート,144km/h,一ゴロ,青柳 晃洋,佐野 恵太,1-5,●
1,シンカー,128km/h,ボール,青柳 晃洋,牧 秀悟,1-5,●
2,スライダー,122km/h,見逃し,青柳 晃洋,牧 秀悟,1-5,●
3,カーブ,109km/h,ファウル,青柳 晃洋,牧 秀悟,1-5,●
4,シンカー,128km/h,死球,青柳 晃洋,牧 秀悟,1-5,●
1,ツーシーム,142km/h,見逃し,青柳 晃洋,宮﨑 敏郎,1-5,●
2,ストレート,140km/h,見逃し,青柳 晃洋,宮﨑 敏郎,1-5,●
3,ツーシーム,141km/h,ボール,青柳 晃洋,宮﨑 敏郎,1-5,●
4,ストレート,142km/h,ボール,青柳 晃洋,宮﨑 敏郎,1-5,●
5,スライダー,120km/h,ボール,青柳 晃洋,宮﨑 敏郎,1-5,●
6,ツーシーム,142km/h,ファウル  [ランエンドヒット],青柳 晃洋,宮﨑 敏郎,1-5,●
7,ツーシーム,142km/h,ファウル  [ランエンドヒット],青柳 晃洋,宮﨑 敏郎,1-5,●
8,スライダー,120km/h,四球,青柳 晃洋,宮﨑 敏郎,1-5,●
1,カットボール,127km/h,ボール,青柳 晃洋,桑原 将志,1-5,●●
2,ツーシーム,140km/h,中飛  [慌てて戻る],青柳 晃洋,桑原 将志,1-5,●●
1,ツーシーム,139km/h,ボール,青柳 晃洋,神里 和毅,4-5,●●
2,ツーシーム,140km/h,右中本,青柳 晃洋,神里 和毅,4-5,●●
1,ツーシーム,142km/h,ファウル,青柳 晃洋,嶺井 博希,4-5,●●●
2,ツーシーム,141km/h,空振り,青柳 晃洋,嶺井 博希,4-5,●●●
3,スライダー,123km/h,空三振,青柳 晃洋,嶺井 博希,4-5,●●●
1,ストレート,145km/h,左本  [本塁打確信、スタンド中段、外野手が一歩も打球追わず],今永 昇太,大山 悠輔,4-6,
1,チェンジアップ,134km/h,ボール,今永 昇太,糸原 健斗,4-6,●
2,チェンジアップ,138km/h,見逃し,今永 昇太,糸原 健斗,4-6,●
3,ストレート,145km/h,ボール,今永 昇太,糸原 健斗,4-6,●
4,カットボール,140km/h,中飛,今永 昇太,糸原 健斗,4-6,●
1,ストレート,146km/h,ボール,今永 昇太,山本 泰寛,4-6,●●
2,カーブ,113km/h,見逃し,今永 昇太,山本 泰寛,4-6,●●
3,ストレート,-,空振り,今永 昇太,山本 泰寛,4-6,●●
4,ストレート,145km/h,ボール,今永 昇太,山本 泰寛,4-6,●●
5,ストレート,145km/h,ファウル  [グラブ弾く、悔しがる],今永 昇太,山本 泰寛,4-6,●●
6,カットボール,139km/h,三ゴロ  [当てただけ、詰り、スライディングキャッチ],今永 昇太,山本 泰寛,4-6,●●
1,ストレート,144km/h,ボール,今永 昇太,坂本 誠志郎,4-6,●●●
2,ストレート,146km/h,左飛,今永 昇太,坂本 誠志郎,4-6,●●●
1,スライダー,130km/h,見逃し,岩貞 祐太,大田 泰示,4-6,●
2,ストレート,147km/h,ボール,岩貞 祐太,大田 泰示,4-6,●
3,ストレート,148km/h,空振り,岩貞 祐太,大田 泰示,4-6,●
4,ストレート,149km/h,見三振  [構えたところにズバリ],岩貞 祐太,大田 泰示,4-6,●
1,ストレート,148km/h,ファウル,岩貞 祐太,森 敬斗,4-6,●
2,ストレート,150km/h,左安,岩貞 祐太,森 敬斗,4-6,●
1,ストレート,149km/h,ボール,岩貞 祐太,蝦名 達夫,4-6,●●
2,スライダー,133km/h,ボール  [ハーフスイング],岩貞 祐太,蝦名 達夫,4-6,●●
3,ストレート,150km/h,ファウル,岩貞 祐太,蝦名 達夫,4-6,●●
4,ストレート,149km/h,ファウル  [止めたバットに当たる],岩貞 祐太,蝦名 達夫,4-6,●●
5,ストレート,149km/h,ボール,岩貞 祐太,蝦名 達夫,4-6,●●
6,ストレート,149km/h,二ゴロ  [ランエンドヒット],岩貞 祐太,蝦名 達夫,4-6,●●
1,スライダー,134km/h,空振り  [ワンバウンド],岩貞 祐太,佐野 恵太,5-6,●●
2,ストレート,150km/h,中安,岩貞 祐太,佐野 恵太,5-6,●●
1,カットボール,143km/h,空振り,加治屋 蓮,牧 秀悟,5-6,●●
2,スライダー,128km/h,中安,加治屋 蓮,牧 秀悟,5-6,●●
1,ストレート,150km/h,右飛,加治屋 蓮,宮﨑 敏郎,5-6,●●●
1,スライダー,130km/h,ボール,クリスキー,梅野 隆太郎,5-6,
2,スライダー,130km/h,ボール,クリスキー,梅野 隆太郎,5-6,
3,スライダー,133km/h,ボール,クリスキー,梅野 隆太郎,5-6,
4,ストレート,152km/h,見逃し  [セーフティバント、バント構え],クリスキー,梅野 隆太郎,5-6,
5,ストレート,151km/h,見逃し,クリスキー,梅野 隆太郎,5-6,
6,ストレート,151km/h,四球,クリスキー,梅野 隆太郎,5-6,
1,ストレート,152km/h,ファウル  [バントファウル],クリスキー,島田 海吏,5-6,●
2,ストレート,154km/h,一犠打,クリスキー,島田 海吏,5-6,●
1,スプリット,139km/h,空振り,クリスキー,中野 拓夢,5-6,●●
2,スプリット,139km/h,見逃し,クリスキー,中野 拓夢,5-6,●●
3,ストレート,156km/h,ファウル  [高めのつり球を要求],クリスキー,中野 拓夢,5-6,●●
4,スプリット,138km/h,ボール,クリスキー,中野 拓夢,5-6,●●
5,スライダー,135km/h,空三振,クリスキー,中野 拓夢,5-6,●●
1,スプリット,138km/h,見逃し,クリスキー,近本 光司,5-7,●●
2,ストレート,-,見逃し,クリスキー,近本 光司,5-7,●●
3,スライダー,134km/h,中安,クリスキー,近本 光司,5-7,●●
1,スライダー,128km/h,空振り,田中 健二朗,佐藤 輝明,5-7,●●●
2,ストレート,141km/h,右飛,田中 健二朗,佐藤 輝明,5-7,●●●
1,ストレート,149km/h,空振り  [ファウルチップ],湯浅 京己,桑原 将志,5-7,●
2,ストレート,-,見逃し,湯浅 京己,桑原 将志,5-7,●
3,フォーク,139km/h,ボール  [ワンバウンド],湯浅 京己,桑原 将志,5-7,●
4,フォーク,139km/h,空三振,湯浅 京己,桑原 将志,5-7,●
1,フォーク,138km/h,ボール  [ワンバウンド],湯浅 京己,神里 和毅,5-7,●
2,ストレート,148km/h,空振り,湯浅 京己,神里 和毅,5-7,●
3,フォーク,137km/h,左安,湯浅 京己,神里 和毅,5-7,●
1,フォーク,139km/h,空振り,湯浅 京己,ソト,5-7,●●
2,ストレート,152km/h,空振り,湯浅 京己,ソト,5-7,●●
3,フォーク,141km/h,ボール  [ワンバウンド],湯浅 京己,ソト,5-7,●●
4,ストレート,152km/h,空三振,湯浅 京己,ソト,5-7,●●
1,フォーク,138km/h,ボール,湯浅 京己,藤田 一也,5-7,●●
2,ストレート,149km/h,ボール,湯浅 京己,藤田 一也,5-7,●●
3,ストレート,146km/h,ボール,湯浅 京己,藤田 一也,5-7,●●
4,ストレート,147km/h,見逃し,湯浅 京己,藤田 一也,5-7,●●
5,ストレート,148km/h,四球,湯浅 京己,藤田 一也,5-7,●●
1,ストレート,149km/h,ファウル  [自打球],湯浅 京己,森 敬斗,5-7,●●●
2,フォーク,138km/h,空振り,湯浅 京己,森 敬斗,5-7,●●●
3,ストレート,151km/h,見三振,湯浅 京己,森 敬斗,5-7,●●●
1,ツーシーム,143km/h,ボール,平田 真吾,大山 悠輔,5-7,●
2,スライダー,132km/h,ボール,平田 真吾,大山 悠輔,5-7,●
3,ツーシーム,145km/h,ボール,平田 真吾,大山 悠輔,5-7,●
4,ツーシーム,144km/h,見逃し,平田 真吾,大山 悠輔,5-7,●
5,ツーシーム,144km/h,遊直  [痛烈な当たり、野手の正面をつく],平田 真吾,大山 悠輔,5-7,●
1,スライダー,132km/h,見逃し,平田 真吾,糸原 健斗,5-7,●
2,フォーク,136km/h,ボール,平田 真吾,糸原 健斗,5-7,●
3,スライダー,130km/h,ボール,平田 真吾,糸原 健斗,5-7,●
4,スライダー,128km/h,左安,平田 真吾,糸原 健斗,5-7,●
1,スライダー,129km/h,見逃し,平田 真吾,山本 泰寛,5-7,●●●
2,ストレート,145km/h,ボール  [高めのつり球を要求],平田 真吾,山本 泰寛,5-7,●●●
3,ツーシーム,144km/h,投飛  [ヒットエンドラン、詰り],平田 真吾,山本 泰寛,5-7,●●●
1,スライダー,137km/h,見逃し,アルカンタラ,蝦名 達夫,5-7,
2,ストレート,152km/h,中安  [詰り、バット折れる],アルカンタラ,蝦名 達夫,5-7,
1,スライダー,142km/h,見逃し,アルカンタラ,佐野 恵太,5-7,●
2,スライダー,-,ボール,アルカンタラ,佐野 恵太,5-7,●
3,ストレート,152km/h,ファウル,アルカンタラ,佐野 恵太,5-7,●
4,スプリット,138km/h,ファウル,アルカンタラ,佐野 恵太,5-7,●
5,ストレート,153km/h,ファウル,アルカンタラ,佐野 恵太,5-7,●
6,ストレート,152km/h,二飛  [高々と舞い上がる、悔しがる],アルカンタラ,佐野 恵太,5-7,●
1,ストレート,-,ボール,アルカンタラ,牧 秀悟,5-7,●●
2,スプリット,138km/h,ファウル,アルカンタラ,牧 秀悟,5-7,●●
3,スライダー,139km/h,見逃し,アルカンタラ,牧 秀悟,5-7,●●
4,ストレート,-,ファウル,アルカンタラ,牧 秀悟,5-7,●●
5,ストレート,152km/h,見三振,アルカンタラ,牧 秀悟,5-7,●●
1,ストレート,154km/h,見逃し,アルカンタラ,宮﨑 敏郎,5-7,●●●
2,スプリット,138km/h,ボール  [ワンバウンド],アルカンタラ,宮﨑 敏郎,5-7,●●●
3,ストレート,153km/h,見逃し,アルカンタラ,宮﨑 敏郎,5-7,●●●
4,スプリット,141km/h,ボール,アルカンタラ,宮﨑 敏郎,5-7,●●●
5,スプリット,139km/h,見三振  [観客大歓声],アルカンタラ,宮﨑 敏郎,5-7,●●●
1,カットボール,141km/h,ボール,上沢 直之,荻野 貴司,0-0,
2,ツーシーム,144km/h,見逃し,上沢 直之,荻野 貴司,0-0,
3,ツーシーム,143km/h,ボール,上沢 直之,荻野 貴司,0-0,
4,ツーシーム,144km/h,ボール,上沢 直之,荻野 貴司,0-0,
5,ストレート,145km/h,見逃し,上沢 直之,荻野 貴司,0-0,
6,ストレート,146km/h,四球,上沢 直之,荻野 貴司,0-0,
1,ナックルカーブ,115km/h,ボール,上沢 直之,マーティン,0-0,●
2,ストレート,145km/h,ファウル,上沢 直之,マーティン,0-0,●
3,ストレート,144km/h,ボール,上沢 直之,マーティン,0-0,●
4,フォーク,138km/h,空振り,上沢 直之,マーティン,0-0,●
5,ストレート,145km/h,見三振  [ランエンドヒット、判定不服],上沢 直之,マーティン,0-0,●
1,ストレート,147km/h,ボール,上沢 直之,中村 奨吾,0-0,●●
2,ツーシーム,144km/h,ボール,上沢 直之,中村 奨吾,0-0,●●
3,カットボール,144km/h,見逃し,上沢 直之,中村 奨吾,0-0,●●
4,カットボール,143km/h,見逃し,上沢 直之,中村 奨吾,0-0,●●
5,ツーシーム,144km/h,ボール,上沢 直之,中村 奨吾,0-0,●●
6,カットボール,142km/h,見三振,上沢 直之,中村 奨吾,0-0,●●
1,ストレート,146km/h,見逃し,上沢 直之,山口 航輝,0-0,●●
2,ツーシーム,144km/h,空振り,上沢 直之,山口 航輝,0-0,●●
3,フォーク,140km/h,ボール  [ワンバウンド],上沢 直之,山口 航輝,0-0,●●
4,ツーシーム,145km/h,ボール,上沢 直之,山口 航輝,0-0,●●
5,スライダー,135km/h,ボール  [ワンバウンド],上沢 直之,山口 航輝,0-0,●●
6,カットボール,143km/h,二失  [送球できず],上沢 直之,山口 航輝,0-0,●●
1,ツーシーム,146km/h,見逃し,上沢 直之,レアード,0-0,●●●
2,ナックルカーブ,119km/h,ボール,上沢 直之,レアード,0-0,●●●
3,ナックルカーブ,117km/h,ファウル,上沢 直之,レアード,0-0,●●●
4,フォーク,141km/h,遊ゴロ,上沢 直之,レアード,0-0,●●●
1,ストレート,143km/h,ボール,二木 康太,石井 一成,0-0,
2,ストレート,141km/h,空振り,二木 康太,石井 一成,0-0,
3,カーブ,112km/h,ボール  [ワンバウンド],二木 康太,石井 一成,0-0,
4,ストレート,140km/h,右安,二木 康太,石井 一成,0-0,
1,スライダー,126km/h,中安,二木 康太,淺間 大基,0-0,
1,ストレート,146km/h,ボール,二木 康太,松本 剛,0-0,●
2,フォーク,134km/h,ボール  [ワンバウンド],二木 康太,松本 剛,0-0,●
3,ストレート,145km/h,見逃し,二木 康太,松本 剛,0-0,●
4,ストレート,145km/h,ボール,二木 康太,松本 剛,0-0,●
5,スライダー,123km/h,三ゴロ,二木 康太,松本 剛,0-0,●
1,ストレート,145km/h,ボール  [ワンバウンド],二木 康太,清宮 幸太郎,0-0,●●
2,フォーク,129km/h,見逃し,二木 康太,清宮 幸太郎,0-0,●●
3,ストレート,145km/h,ボール,二木 康太,清宮 幸太郎,0-0,●●
4,ストレート,141km/h,ボール,二木 康太,清宮 幸太郎,0-0,●●
5,フォーク,131km/h,空振り,二木 康太,清宮 幸太郎,0-0,●●
6,ストレート,143km/h,ファウル,二木 康太,清宮 幸太郎,0-0,●●
7,フォーク,132km/h,二ゴロ  [併殺崩れ],二木 康太,清宮 幸太郎,0-0,●●
1,ストレート,145km/h,ボール,二木 康太,野村 佑希,0-1,●●
2,ストレート,143km/h,左安  [打者ガッツポーズ],二木 康太,野村 佑希,0-1,●●
1,ストレート,147km/h,ボール,二木 康太,万波 中正,0-1,●●
2,ストレート,141km/h,見逃し,二木 康太,万波 中正,0-1,●●
3,フォーク,131km/h,見逃し,二木 康太,万波 中正,0-1,●●
4,フォーク,131km/h,ボール  [ワンバウンド],二木 康太,万波 中正,0-1,●●
5,ストレート,143km/h,ボール  [打者のけぞる],二木 康太,万波 中正,0-1,●●
6,ストレート,146km/h,四球,二木 康太,万波 中正,0-1,●●
1,ストレート,144km/h,見逃し,二木 康太,ヌニエス,0-2,●●
2,フォーク,131km/h,ファウル,二木 康太,ヌニエス,0-2,●●
3,フォーク,131km/h,ボール  [ワンバウンド],二木 康太,ヌニエス,0-2,●●
4,ストレート,145km/h,ボール,二木 康太,ヌニエス,0-2,●●
5,フォーク,133km/h,ボール  [ワンバウンド],二木 康太,ヌニエス,0-2,●●
6,フォーク,131km/h,四球,二木 康太,ヌニエス,0-2,●●
1,ストレート,143km/h,ファウル,二木 康太,宇佐見 真吾,0-2,●●●
2,ストレート,143km/h,ボール,二木 康太,宇佐見 真吾,0-2,●●●
3,ストレート,143km/h,空振り,二木 康太,宇佐見 真吾,0-2,●●●
4,ストレート,144km/h,ファウル,二木 康太,宇佐見 真吾,0-2,●●●
5,フォーク,130km/h,ファウル,二木 康太,宇佐見 真吾,0-2,●●●
6,ストレート,141km/h,遊ゴロ,二木 康太,宇佐見 真吾,0-2,●●●
1,カットボール,141km/h,見逃し,上沢 直之,佐藤 都志也,0-2,●
